Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,Pr Passes,CCC,Cr A,Cr C/A,Tck/90,Tck R,Pres A,Pres C,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Wage,Preferred Foot,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,Con/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Shusuke Ota,AM (RC),28,JPN,"5'9""",70 kg,Fairly Determined,Niigata,£20K - £200K,7.24,2,1,100%,1.35,53%,0.71,2.05,0.21,29.86,85%,1.84,53,6,89,15%,3.19,88%,131,46,0,1.84,13,25,4.75,1.7,36%,0,1.06,16,10.2km,1,0,5,13 (6),"1,269",19,3,1,66.79,10,67,12,144.3km,15,24,26,26,498,421,51,45,31/1/2024,"£3,200 p/w",Right,0.14,0.21,0.11,11.06,4.54,14.11,9.29,3.26,3.76,0.2,3,-,-,11%,1.84,-,-,26,-,-,-,-,-,0.15,-,2.05,J1 League,Technical,Winger,Media-friendly,1,0.43,0.92,6.31,0.85,0,3.05,0,13%,3.69,0.57,35.32,0,0.21,0.15,-,,- - -
Alberto Perea,AM (LC),33,ESP,"5'10""",74 kg,Balanced,Anorthosi,£26K - £275K,6.74,1,0,-,1.71,42%,0.71,3.39,0.29,13.93,70%,-,0,0,0,-,0.79,65%,0,0,0,-,0,7,-,-,-,0,-,21,0.0km,0,0,0,14,"1,260",24,4,0,90,10,0,0,0.0km,0,-,0,0,280,195,17,11,31/5/2024,"£2,600 p/w",Right,0,-,0.14,0,0,0,0,0,0,0,0,-,-,4%,0,-,-,0,-,-,-,-,-,0.24,-,3.39,Cypriot First Division,Technical,Experienced winger,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.24,-,,- - -
Ferhan Hasani,"M/AM (RLC), ST (C)",34,MKD,"6'2""",75 kg,Fairly Professional,FC Helsingør,£0 - £45K,6.94,5,1,100%,1.21,59%,0.71,1.78,-,39.2,87%,1.99,36,1,76,20%,1.28,86%,138,33,0,1.57,10,15,4.91,2.63,54%,0,1.57,16,11.3km,0,0,4,17,"1,265",17,0,1,74.41,10,69,10,159.2km,22,37,22,28,631,551,21,18,30/6/2024,"£2,500 p/w",Right,0.07,0.5,0.1,8.11,10.6,15.79,9.82,2.35,2.56,0.03,7,-,-,29%,0.78,-,-,11,-,-,-,-,-,0.13,-,1.78,2. Division,Creative,Veteran winger,Reserved,1,0.07,0.71,5.41,0.71,0,2.28,0,13%,0.71,0.14,44.89,0,0.57,0.13,-,,- - -
Timothy Chandler,"D/WB (RL), M (R)",34,USA,"6'2""",84 kg,Resolute,Eintracht Frankfurt,£2.5K - £22K,-,0,0,-,-,-,-,0,-,-,80%,-,0,0,1,-,-,-,2,0,0,-,0,0,-,-,100%,0,-,0,-,0,0,0,0 (1),13,0,0,0,13,-,1,0,2.3km,0,1,0,0,5,4,0,-,30/6/2024,"£20,500 p/w",Right,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,Bundesliga,Leader,Attacking full back,Level-headed,0,-,-,-,-,0,-,-,0%,-,-,-,-,-,-,-,Wnt,- - -
Marcus Bettinelli,GK,32,ENG,"6'4""",91 kg,Driven,Chelsea,£1.3M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2025,"£30,000 p/w",Right Only,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,English Premier Division,Assertive,Experienced goalkeeper,Reserved,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Inj,- - -
Carlo Pinsoglio,GK,34,ITA,"6'4""",82 kg,Determined,Juventus,£0 - £85K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2025,"£9,250 p/w",Left Only,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Italian Serie A,Shot Stopper,Experienced goalkeeper,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- - -
Gabriel Obertan,"M (C), AM (RLC)",35,FRA,"6'1""",84 kg,Fairly Professional,Charlotte Independence,£500 - £4K,7.18,2,0,-,1.67,43%,0.71,2.8,0.19,13.76,69%,-,0,0,0,-,0.86,78%,0,0,0,-,0,12,-,-,-,0,-,33,0.0km,0,0,0,21,"1,890",35,4,0,90,15,0,0,0.0km,0,-,0,0,420,289,23,18,30/11/2023,"£3,100 p/w",Right,0,-,0.08,0,0,0,0,0,0,0.09,0,-,-,6%,0,-,-,0,-,-,-,-,-,0.13,-,2.8,United States Soccer Leagues Division One,Creative,Veteran attacking midfielder,Reserved,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.13,-,Wnt,- - -
Sebastian Stolze,"M (R), AM (RL)",29,GER,"6'0""",71 kg,Fairly Professional,Sandhausen,£28K - £275K,7.29,5,0,-,1.61,44%,0.71,2.57,0.26,28.71,84%,1.42,38,3,77,10%,2.83,81%,180,54,1,1.74,12,22,5.34,1.67,31%,0,2.83,23,12.4km,0,0,2,15,"1,398",25,4,0,93.2,11,83,8,192.4km,44,26,27,22,534,446,54,44,30/6/2024,"£4,600 p/w",Right,0.13,0.19,0.1,14.74,5.15,20.02,11.59,3.48,2.45,0.16,3,-,-,20%,1.42,-,-,22,-,-,-,-,-,0.17,-,2.57,3. Liga,Physical,Winger,Media-friendly,2,0.19,0.77,4.96,0.52,0,3.67,0.06,10%,4.38,0.45,34.38,0,0.45,0.17,-,,- - -
Gabriel Osho,D (RC),26,NGA,"6'0""",81 kg,Fairly Ambitious,AJ Auxerre,£900K - £1.9M,-,0,0,-,-,-,-,0,-,-,83%,-,1,0,0,-,-,100%,1,0,0,-,0,0,-,-,50%,0,-,0,-,0,0,0,0 (2),24,0,0,0,12,-,2,0,3.5km,0,1,0,0,12,10,1,1,30/6/2024,"£4,300 p/w",Right,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,Ligue 1 Uber Eats,Physical,Centre-back,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Inj,- - -
Hugo Bueno,D/WB (L),22,ESP,"5'11""",73 kg,Fairly Determined,Feyenoord,£5.4M - £6.8M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2027,"£5,000 p/w",Left,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eredivisie,Physical,Attacking full back,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- - -
Philipp Ochs,D/WB/M/AM (L),27,KAZ,"5'9""",75 kg,Fairly Determined,First Vienna FC,£65K - £650K,6.87,1,1,100%,1.86,38%,0.71,3.08,-,14.29,71%,-,0,0,0,-,1.64,96%,0,0,0,-,0,16,-,-,-,0,-,20,0.0km,0,1,0,14,"1,260",26,0,1,90,10,0,0,0.0km,0,-,0,0,280,200,24,23,30/6/2024,"£3,300 p/w",Left,0,-,0.12,0,0,0,0,0,0,0.08,0,-,-,4%,0,-,-,0,-,-,-,-,-,0.16,-,2.28,Austrian First Division,Leader,Winger,Level-headed,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.22,-,,- - -
Jack Hinshelwood,"D (RC), WB (R), DM, M (C)",19,ENG,"5'9""",68 kg,Balanced,Brighton,£32M - £40M,6.77,0,0,-,0.94,50%,0.47,0.02,-,58.59,87%,0.47,5,0,0,-,3.28,78%,27,7,0,0.47,0,1,3.28,0.94,29%,0,0.94,0,13.5km,0,0,0,3 (1),192,2,0,0,48,1,7,0,28.9km,2,2,1,1,143,125,9,7,30/6/2027,"£3,000 p/w",Right,0,-,0.01,9.38,10.78,7.5,12.66,3.28,2.34,0.02,0,-,-,-,0.47,-,-,1,-,-,-,-,-,0.01,-,0.02,English Premier Division,Leader,Defensive midfielder,Media-friendly,0,-,0,0,0,0,2.34,0,-,0,0,67.03,0,0.47,0.01,-,Wnt,- - -
Javi Lara,"DM, M/AM (LC)",38,ESP,"5'10""",71 kg,Balanced,Linares,£0 - £55K,6.93,1,0,-,1.92,37%,0.71,1.21,0.1,20.18,79%,1.31,24,1,73,11%,1.31,76%,50,12,0,0.81,3,7,2.12,0.4,19%,0,0.61,9,6.4km,0,0,3,10,892,19,1,0,89.2,7,21,10,63.4km,6,4,8,13,254,200,17,13,30/6/2024,"£2,500 p/w",Right,0,0.2,0.06,7.77,3.33,5.45,5.04,1.21,2.42,0.12,2,-,-,5%,1.01,-,-,10,-,-,-,-,-,0.12,-,1.21,Spanish Federation Second Group 5,Intelligent,Veteran midfielder,Level-headed,1,0.1,0.3,7.37,1.01,0,1.72,0,14%,2.62,0.3,25.63,0,0.4,0.12,-,,- - -
Edoardo Pierozzi,D/WB/M (R),23,ITA,"6'0""",73 kg,Balanced,Pescara,£65K - £650K,6.86,0,0,-,1.15,54%,0.62,1.8,-,41.12,89%,0.35,61,1,25,-,1.68,86%,98,19,2,1.59,16,13,5.03,2.65,53%,0,1.41,14,12.3km,1,0,0,11,"1,020",13,0,0,92.73,7,57,0,139.5km,16,30,18,4,524,466,22,19,30/6/2024,"£2,500 p/w",Right Only,0.18,0.88,0.14,13.5,9.35,12.79,8.65,1.68,5.38,0.07,10,-,-,-,0.35,-,-,4,-,-,-,-,-,0.16,-,1.8,Italian Serie C/B,Physical,Full-back,Media-friendly,0,0.09,1.41,2.21,0,0,2.38,0.18,0%,2.21,0,46.24,0.18,0.26,0.16,-,,- - -
Ebrima Darboe,"DM, M (C)",23,GAM,"5'9""",69 kg,Fairly Ambitious,Frosinone,£26K - £250K,6.94,1,0,-,0.34,25%,0.09,0.23,0.26,46.37,90%,0.94,60,2,3,33%,2.91,81%,107,45,1,1.8,9,15,3.76,1.63,43%,0,0.86,10,12.7km,1,0,0,12,"1,052",4,3,0,87.67,1,44,1,148.2km,10,19,21,11,605,542,42,34,30/6/2024,"£12,250 p/w",Right,0.26,0.26,0.06,11.46,9.33,5.9,9.15,3.85,5.13,0.05,3,-,-,25%,0.94,-,-,11,-,-,-,-,-,0.02,-,0.23,Italian Serie B,Physical,Defensive midfielder,Media-friendly,0,0.17,0.77,0.26,0.09,0,2.14,0.09,33%,0.26,0.09,51.76,0,0.17,0.02,-,nEU,- - -
Edu García,"M (RLC), AM (RL)",34,ESP,"6'2""",80 kg,Balanced,Peng City,£0 - £8K,6.79,2,1,100%,2.06,34%,0.71,4.94,0.29,13.47,67%,-,0,0,0,-,1.24,81%,0,0,0,-,0,15,-,-,-,0,-,30,0.0km,0,0,0,17,"1,530",35,5,1,90,12,0,0,0.0km,0,-,0,0,340,229,26,21,31/12/2023,"£9,750 p/w",Right,0,-,0.14,0,0,0,0,0,0,0.07,0,-,-,6%,0,-,-,0,-,-,-,-,-,0.24,-,4.14,-,Technical,Veteran winger,Level-headed,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.29,-,,- - -
Mateu Morey,D/WB (R),24,ESP,"5'8""",67 kg,Fairly Sporting,Mallorca,£140K - £1.4M,6.8,0,0,-,-,-,-,0,-,33.75,79%,-,4,0,3,-,2.5,100%,8,2,0,2.5,2,1,2.5,1.25,50%,0,2.5,1,0.0km,0,0,0,0 (1),72,0,0,0,72,-,2,0,10.6km,2,1,2,0,34,27,2,2,30/6/2024,"£24,500 p/w",Right,0,1.25,0,18.75,7.5,16.25,10,2.5,5,0.05,1,-,-,-,0,-,-,0,-,-,-,-,-,0,-,0,Spanish First Division,Technical,Full-back,Media-friendly,0,-,2.5,3.75,0,0,1.25,0,0%,3.75,0,42.5,0,0,0,-,,- - -
Mason Bennett,"AM (RLC), ST (C)",28,ENG,"5'10""",64 kg,Fairly Determined,Burton,£24K - £250K,6.61,5,0,-,1.84,38%,0.71,2.07,-,18.65,85%,0.64,15,0,10,-,1.13,59%,100,27,0,0.78,6,28,8.94,2.41,27%,0,0.85,41,11.0km,2,0,9,17,"1,269",26,0,0,74.65,10,126,0,155.4km,12,34,11,9,310,263,27,16,30/6/2024,"£3,500 p/w",Right,0,-,0.08,6.45,1.84,18.65,7.09,1.91,1.06,0.01,0,-,-,19%,0.64,-,-,9,-,-,-,-,-,0.15,-,2.07,Sky Bet League One,Physical,Winger,Media-friendly,0,-,0.43,0.71,0,1,6.52,0,0%,0.71,0,21.99,0,0.57,0.15,-,,- - -
José Mari,"DM, M (C)",36,ESP,"5'11""",69 kg,Resolute,Cádiz,£6K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2024,"£6,750 p/w",Right,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Spanish Second Division,Leader,Veteran midfielder,Reserved,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- - -
Eniss Shabani,"DM, M/AM (C)",21,ALB,"5'11""",77 kg,Balanced,Mainz 05 II,£210K - £2.1M,6.9,1,0,-,0.95,43%,0.41,0.92,0.14,42.48,87%,1.5,32,2,4,50%,1.77,93%,71,17,1,1.5,10,13,3.4,1.36,40%,0,0.14,4,12.1km,1,1,0,9,661,7,1,0,73.44,3,25,2,88.9km,1,10,11,11,360,312,14,13,30/6/2026,"£5,000 p/w",Left,0.14,0.14,0.13,9.94,9.26,7.22,9.67,2.31,4.36,0.12,1,-,-,14%,1.5,-,-,11,-,-,-,-,-,0.13,-,0.92,German Regional Division Southwest,Technical,Midfielder,Level-headed,0,0.27,1.36,0.54,0.27,0,2.04,0.14,50%,0.54,0.27,49.02,0.14,0.27,0.13,-,Loa,- - -
Cristian Battocchio,M/AM (C),32,ITA,"5'7""",64 kg,Balanced,Monopoli,£0 - £65K,6.98,1,0,-,0.99,71%,0.71,1.2,0.28,39.76,88%,3.11,30,1,42,14%,1.98,93%,78,20,0,0.85,5,10,5.24,2.26,43%,0,0.85,6,12.1km,0,0,2,8 (1),636,7,2,0,70.67,5,37,5,85.5km,6,16,6,22,321,281,15,14,30/6/2024,"£3,400 p/w",Right,0,0.99,0.17,8.35,7.5,14.58,11.04,2.83,4.25,0.11,7,-,-,14%,1.42,-,-,10,-,-,-,-,-,0.17,-,1.2,Italian Serie C/C,Technical,Experienced midfielder,Level-headed,0,0.14,0.71,5.94,0.71,0,2.97,0,12%,0.99,0.14,45.42,0,0.42,0.17,-,,- - -
Jay Rodriguez,"AM (RC), ST (C)",35,ENG,"6'1""",70 kg,Fairly Professional,Burnley,£18K - £180K,6.7,0,0,-,2.29,50%,1.15,0.46,-,19.49,83%,-,1,0,0,-,0.57,50%,12,2,0,0.57,0,3,10.89,4.59,42%,0,0.57,3,11.5km,2,0,1,0 (7),157,4,0,0,22.43,2,19,0,20.1km,1,8,1,0,41,34,2,1,30/6/2024,"£33,000 p/w",Right,0,-,0.12,6.31,1.15,17.2,6.88,1.15,0.57,0.06,0,-,-,-,0,-,-,0,-,-,-,-,-,0.26,-,0.46,Sky Bet Championship,Intelligent,Veteran striker,Level-headed,0,-,0,0,0,0,6.31,0,-,0,0,23.5,0,1.15,0.26,-,,- - -
Dylan Williams,"D (LC), WB (L), M (LC), AM (L)",21,ENG,"5'9""",66 kg,Driven,Burton,£28K - £275K,6.88,0,0,-,0.25,25%,0.06,0.35,-,40.77,88%,0.95,91,4,50,16%,2.97,84%,161,46,0,2.91,20,17,4.74,3.22,68%,0,1.07,21,12.9km,2,0,2,16,"1,424",4,0,0,89,1,75,8,203.9km,17,51,46,15,734,645,56,47,30/6/2024,"£2,500 p/w",Left,0.44,0.44,0.09,15.8,9.23,16.24,10.18,2.91,5.75,0.06,7,-,-,-,0.95,-,-,15,-,-,-,-,-,0.02,-,0.35,Sky Bet League One,Leader,Attacking full back,Evasive,0,0.25,1.26,3.16,0.51,0,1.52,0,16%,3.16,0.51,46.39,0.63,0,0.02,-,,- - -
Ao Tanaka,"DM, M (C)",26,JPN,"5'11""",75 kg,Resolute,Leeds,£4.3M - £8M,6.84,1,0,-,1.26,56%,0.7,1.04,0.42,45.63,88%,1.68,23,3,66,50%,2.66,95%,65,20,1,0.98,4,10,4.48,2.1,47%,0,0.98,4,13.1km,0,0,0,4 (14),643,9,3,0,35.72,5,32,14,93.6km,7,15,7,12,371,326,20,19,30/6/2027,"£20,000 p/w",Right,0.14,-,0.12,14.28,12.32,5.46,9.1,2.8,3.22,0.39,0,-,-,11%,1.12,-,-,8,-,-,-,-,-,0.15,-,1.04,Sky Bet Championship,Leader,Tireless midfielder,Reserved,1,0.42,0.56,9.24,1.96,1,2.38,0.14,21%,0.28,0.14,51.93,0.28,0.7,0.15,-,,- - -
Riccardo Fiamozzi,D/WB/M (R),31,ITA,"5'10""",77 kg,Fairly Loyal,Reggiana,£35K - £350K,6.3,0,0,-,-,50%,-,0.38,-,-,89%,-,2,0,1,100%,-,100%,8,1,0,-,0,0,-,-,100%,0,-,0,-,0,0,0,0 (4),64,2,1,0,16,1,2,1,7.5km,0,2,1,2,28,25,1,1,30/6/2024,"£3,700 p/w",Right Only,-,-,0.19,-,-,-,-,-,-,-,0,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0.38,Italian Serie B,Technical,Full-back,Level-headed,0,-,-,-,-,0,-,-,100%,-,-,-,-,-,-,-,,- - -
Riqui Puig,M/AM (C),25,ESP,"5'7""",56 kg,Fairly Loyal,LA Galaxy,£8.2M - £10.5M,7.52,1,1,100%,1.79,39%,0.7,5.67,0.22,18.93,76%,0.35,20,1,5,-,1.09,87%,37,12,1,0.16,3,17,0.19,0.06,33%,0,0.06,38,1.6km,0,0,0,31 (4),"2,810",56,7,1,80.29,22,6,0,51.1km,2,2,5,11,781,591,39,34,31/12/2026,"£25,000 p/w",Right,0,-,0.1,1.44,1.73,1.47,1.19,0.38,0.64,0.13,0,-,-,2%,0.35,-,-,11,-,-,-,-,-,0.16,-,4.87,Major League Soccer,Creative,Midfielder,Level-headed,0,0.03,0.1,0.16,0,0,0.13,0.03,0%,0.16,0,25.01,0,0.06,0.18,-,Wnt,- - -
Omri Altman,"M (C), AM (LC)",30,ISR,"5'11""",78 kg,Balanced,Volos,£600K - £1.2M,7.42,1,0,-,2,35%,0.7,1.95,-,13.6,68%,-,0,0,0,-,1.2,92%,0,0,0,-,0,17,-,-,-,0,-,14,0.0km,0,0,0,10,900,20,0,0,90,7,0,0,0.0km,0,-,0,0,200,136,13,12,31/5/2025,"£2,600 p/w",Right,0,-,0.1,0,0,0,0,0,0,0.18,0,-,-,5%,0,-,-,0,-,-,-,-,-,0.2,-,1.95,Greek Super League 1,Creative,Attacking midfielder,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.2,-,,- - -
Adama Traoré,"M (C), AM (RLC)",29,MLI,"5'11""",72 kg,Fairly Sporting,Amed Sportif,£350K - £3.6M,7.81,1,0,-,2,35%,0.7,1.92,0.4,13.7,69%,-,0,0,0,-,1.3,93%,0,0,0,-,0,4,-,-,-,0,-,13,0.0km,0,0,0,10,900,20,4,0,90,7,0,0,0.0km,0,-,0,0,200,137,14,13,30/6/2025,"£12,500 p/w",Left,0,-,0.1,0,0,0,0,0,0,0.04,0,-,-,5%,0,-,-,0,-,-,-,-,-,0.19,-,1.92,Turkish 1. League,Creative,Attacking midfielder,Level-headed,0,-,0,0,0,0,-,0,-,0,0,20,0,0,0.19,-,Unh,- - -
Vito Mannone,GK,36,ITA,"6'2""",77 kg,Fairly Professional,LOSC,£275K - £800K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2024,"£6,250 p/w",Right,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ligue 1 Uber Eats,Assertive,Veteran goalkeeper,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- - -
Víctor Guzmán,M/AM (C),29,MEX,"5'9""",75 kg,Balanced,Chivas,£4.5M - £5.6M,7.38,3,0,-,1.65,42%,0.7,3.88,0.25,19.36,77%,0.44,10,2,5,-,1.65,84%,53,18,0,0.38,5,18,1.4,0.32,23%,0,0.32,21,5.0km,0,0,0,16,"1,418",26,4,0,88.62,11,22,0,78.3km,5,5,6,7,394,305,31,26,31/12/2024,"£15,250 p/w",Right,0.06,-,0.15,5.33,5.08,6.35,3.36,1.14,0.63,0.12,0,-,-,12%,0.44,-,-,7,-,-,-,-,-,0.25,-,3.88,Mexican First Division,Leader,Attacking midfielder,Media-friendly,0,0.13,0.32,0.32,0,0,1.08,0,0%,0.32,0,25.01,0,0.13,0.25,-,,- - -
Simon Olsson,"DM, M/AM (C)",27,SWE,"6'1""",81 kg,Balanced,sc Heerenveen,£275K - £6M,6.76,0,0,-,1.3,54%,0.7,1.34,-,39.83,87%,1.2,41,1,27,-,2.01,77%,96,27,1,2.21,7,12,5.32,3.41,64%,0,1.1,7,12.2km,2,0,0,11 (1),897,13,0,0,74.75,7,53,2,121.2km,11,34,22,12,456,397,26,20,30/6/2025,"£4,300 p/w",Right,0.4,0.6,0.1,10.03,13.65,12.24,9.63,2.71,4.11,0.21,6,-,-,-,1.1,-,-,11,-,-,-,-,-,0.13,-,1.34,Eredivisie,Technical,Midfielder,Level-headed,2,0.1,0.7,2.71,0.2,0,1.91,0.1,7%,0.6,0,45.75,0,0.5,0.13,-,,- - -
Tobias Kempe,"DM, M/AM (C)",35,GER,"6'0""",77 kg,Spirited,Darmstadt 98,£70K - £210K,6.8,1,0,-,4.21,33%,1.4,1.83,0.28,28.6,84%,3.36,9,1,63,40%,2.24,80%,32,9,0,0.56,2,4,7.57,3.08,41%,0,-,6,13.3km,0,0,1,2 (7),321,15,1,0,35.67,5,27,12,47.3km,0,11,2,12,121,102,10,8,30/6/2024,"£10,750 p/w",Right,0.84,0.28,0.12,11.5,10.65,16.54,8.97,2.52,2.52,0.41,1,-,-,7%,1.4,-,-,5,-,-,-,-,-,0.51,-,1.83,Bundesliga 2,Leader,Veteran midfielder,Evasive,1,0.28,0.56,17.66,3.36,0,4.49,0,19%,1.4,0.56,33.93,0,1.96,0.51,-,,- - -
Rocco Reitz,"DM, M (C)",22,GER,"5'9""",72 kg,Perfectionist,Borussia M'gladbach,£6.2M - £7.4M,6.6,0,0,-,-,-,-,0,-,43.69,94%,-,5,0,0,-,3.5,100%,9,2,0,-,0,1,1.75,0,0%,0,-,1,10.5km,0,0,0,1 (4),103,0,0,0,20.6,-,2,0,12.0km,0,0,0,0,53,50,4,4,30/6/2027,"£31,000 p/w",Right,0,-,0,8.74,6.99,3.5,7.86,1.75,4.37,0.15,0,-,-,-,0,-,-,0,-,-,-,-,-,0,-,0,Bundesliga,Leader,Tireless midfielder,Reserved,0,-,0,0,0,0,1.75,0,-,0,0,46.31,0,0,0,-,Sct,- - -
Philipp Hofmann,ST (C),31,GER,"6'5""",89 kg,Fairly Determined,VfL Bochum,£240K - £2.4M,6.62,1,0,-,4.47,43%,1.91,0.37,-,21.7,92%,-,0,0,0,-,-,-,14,2,0,0.64,1,2,10.21,4.47,44%,0,-,2,11.0km,1,0,0,0 (8),141,7,0,0,17.62,3,16,0,17.3km,0,7,1,0,37,34,0,-,30/6/2025,"£14,000 p/w",Left,0,-,0.05,7.66,0,17.87,8.94,1.28,0,0,0,-,-,14%,0,-,-,0,-,-,-,-,-,0.24,-,0.37,Bundesliga,Leader,Powerful striker,Level-headed,0,-,0.64,0,0,0,5.74,0,-,0,0,23.62,0,1.91,0.24,-,,- - -
Aldo Florenzi,M (C),22,ITA,"5'6""",70 kg,Resolute,Cosenza,£180K - £1.8M,6.91,2,0,-,0.97,50%,0.48,1.32,0.1,38.61,88%,1.45,37,4,7,-,1.74,64%,115,33,1,2.52,17,7,4.16,1.65,40%,0,1.06,7,12.1km,0,0,0,13,930,10,1,0,71.54,5,43,0,124.9km,11,17,26,15,451,399,28,18,30/6/2025,"£3,100 p/w",Right Only,0.19,0.68,0.13,10.45,9.1,17.42,11.13,3.19,3.58,0.27,7,-,-,20%,1.45,-,-,15,-,-,-,-,-,0.13,-,1.32,Italian Serie B,Technical,Midfielder,Level-headed,0,0.39,1.65,0.68,0,0,2.52,0.1,0%,0.68,0,43.65,0,0.29,0.13,-,,- - -
Duncan Watmore,"AM (RLC), ST (C)",30,ENG,"5'9""",73 kg,Fairly Professional,Millwall,£160K - £1.6M,6.9,3,0,-,1.23,57%,0.7,1.44,-,22.68,83%,0.7,14,0,4,-,2.64,88%,69,15,0,3.34,4,3,7.73,0.35,5%,0,3.69,11,13.3km,1,0,1,7 (3),512,7,0,0,51.2,4,44,0,75.8km,21,2,19,4,156,129,17,15,30/6/2024,"£10,000 p/w",Right,0,0.18,0.21,12.48,6.33,14.41,12.13,2.64,2.46,0.03,1,-,-,43%,0.7,-,-,4,-,-,-,-,-,0.25,-,1.44,Sky Bet Championship,Leader,Striker,Reserved,0,-,0.7,0.7,0,0,7.38,0,0%,0.7,0,27.42,0,0.53,0.25,-,,- - -
Fabinho,"DM, M (C)",22,BRA,"5'10""",75 kg,Determined,SEP,£600K - £7.6M,6.68,0,0,-,0.97,21%,0.2,1.88,0.1,46.86,92%,0.81,87,6,7,-,1.94,86%,178,51,1,1.48,15,25,3.11,1.32,43%,0,0.51,11,12.4km,2,0,2,13 (30),"1,767",19,2,0,41.09,4,61,0,242.6km,10,26,29,16,997,920,44,38,31/12/2026,"£4,600 p/w",Right,0.1,0.41,0.1,11.36,9.07,7.08,9.07,2.6,4.43,0.16,8,-,-,-,0.71,-,-,14,-,-,-,-,-,0.1,-,1.88,Brazilian National First Division,Physical,Midfielder,Level-headed,2,0.31,0.76,0.36,0,1,1.78,0.05,0%,0.36,0,50.78,0.1,0.2,0.1,-,Loa,- - -
